PLAYER_NAME,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
DJ Hogg,27.0,4,95.15,43,14,9,3,2,5,0.438,0.3,0.643
DJ Steward,22.0,32,949.5183333333333,622,155,125,25,15,86,0.475,0.358,0.768
DJ Steward,22.0,8,144.58833333333334,113,21,20,5,1,10,0.488,0.452,0.773
DJ Stewart,24.0,4,64.47666666666667,23,9,1,1,2,0,0.529,0.2,0.5
DaQuan Jeffries,26.0,18,67.30833333333334,34,9,7,0,3,5,0.419,0.231,0.714
DaQuan Jeffries,26.0,14,504.12166666666667,308,86,40,5,14,29,0.483,0.369,0.758
Daeqwon Plowden,25.0,33,825.6,361,142,46,24,24,42,0.468,0.39,0.76
Daeqwon Plowden,25.0,2,22.366666666666667,2,3,0,0,1,2,0.25,0.0,0.0
Daishen Nix,22.0,15,49.78333333333333,27,3,6,5,0,5,0.375,0.353,0.5
Daishen Nix,22.0,7,261.7266666666667,176,49,45,20,4,26,0.421,0.277,0.634
Dalano Banton,24.0,54,1046.8466666666666,557,178,127,33,20,77,0.404,0.296,0.783
Dalano Banton,24.0,2,69.68333333333334,59,11,8,4,4,5,0.435,0.333,0.643
Dalano Banton,24.0,2,57.11666666666667,30,12,8,1,1,4,0.323,0.231,0.7
Dalen Terry,21.0,64,827.8933333333333,243,138,99,36,22,40,0.41,0.258,0.621
Damian Jones,29.0,39,269.7316666666667,107,62,15,7,13,13,0.597,0.214,0.857
Damian Lillard,33.0,73,2578.4283333333333,1775,320,508,72,18,193,0.424,0.354,0.92
Damion Baugh,23.0,24,718.41,331,123,73,50,10,49,0.439,0.279,0.839
Damion Baugh,23.0,7,133.73333333333332,21,20,19,7,4,14,0.258,0.143,0.5
Dana Evans,25.0,39,837.4233333333333,350,47,118,27,4,61,0.36,0.294,0.854
Dane Goodwin,24.0,26,581.16,182,99,42,10,7,21,0.449,0.438,0.25
Dane Goodwin,24.0,2,34.38333333333333,9,4,5,0,1,4,0.429,0.5,0.0
Daniel Gafford,25.0,74,1814.355,814,562,115,65,153,74,0.725,0.0,0.674
Daniel Giddens,26.0,9,68.04833333333333,14,13,4,3,1,2,0.263,0.5,0.5
Daniel Oturu,24.0,5,54.65,22,17,8,0,0,7,0.615,0.0,0.857
Daniel Theis,32.0,60,1014.84,376,244,61,21,51,42,0.532,0.366,0.76
Danielle Robinson,35.0,32,689.8833333333333,187,69,104,23,3,43,0.461,0.29,0.75
Danilo Gallinari,35.0,49,629.29,280,108,55,14,6,23,0.437,0.323,0.857
Danny Green,37.0,2,18.45,0,2,1,1,0,0,0.0,0.0,0.0
